lookupVariable,lookupValue,newVariable,newValue,source
Sample,ControlA.1,Replicate,1,AA
Sample,ControlA.2,Replicate,2,AA
Sample,ControlA.3,Replicate,3,AA
Sample,A.10.1,Replicate,1,AA
Sample,A.10.2,Replicate,2,AA
Sample,A.10.3,Replicate,3,AA
Sample,A.20.1,Replicate,1,AA
Sample,A.20.2,Replicate,2,AA
Sample,A.20.3,Replicate,3,AA
Sample,A.30.1,Replicate,1,AA
Sample,A.30.2,Replicate,2,AA
Sample,A.30.3,Replicate,3,AA
Sample,A.40.1,Replicate,1,AA
Sample,A.40.2,Replicate,2,AA
Sample,A.40.3,Replicate,3,AA
Sample,A.50.1,Replicate,1,AA
Sample,A.50.2,Replicate,2,AA
Sample,A.50.3,Replicate,3,AA
Sample,ControlB.1,Replicate,1,AA
Sample,ControlB.2,Replicate,2,AA
Sample,ControlB.3,Replicate,3,AA
Sample,B.10.1,Replicate,1,AA
Sample,B.10.2,Replicate,2,AA
Sample,B.10.3,Replicate,3,AA
Sample,B.20.1,Replicate,1,AA
Sample,B.20.2,Replicate,2,AA
Sample,B.20.3,Replicate,3,AA
Sample,B.30.1,Replicate,1,AA
Sample,B.30.2,Replicate,2,AA
Sample,B.30.3,Replicate,3,AA
Sample,B.40.1,Replicate,1,AA
Sample,B.40.2,Replicate,2,AA
Sample,B.40.3,Replicate,3,AA
Sample,B.50.1,Replicate,1,AA
Sample,B.50.2,Replicate,2,AA
Sample,B.50.3,Replicate,3,AA
Sample,ControlA.1,Strain,YHL033C,AA
Sample,ControlA.2,Strain,YHL033C,AA
Sample,ControlA.3,Strain,YHL033C,AA
Sample,A.10.1,Strain,YHL033C,AA
Sample,A.10.2,Strain,YHL033C,AA
Sample,A.10.3,Strain,YHL033C,AA
Sample,A.20.1,Strain,YHL033C,AA
Sample,A.20.2,Strain,YHL033C,AA
Sample,A.20.3,Strain,YHL033C,AA
Sample,A.30.1,Strain,YHL033C,AA
Sample,A.30.2,Strain,YHL033C,AA
Sample,A.30.3,Strain,YHL033C,AA
Sample,A.40.1,Strain,YHL033C,AA
Sample,A.40.2,Strain,YHL033C,AA
Sample,A.40.3,Strain,YHL033C,AA
Sample,A.50.1,Strain,YHL033C,AA
Sample,A.50.2,Strain,YHL033C,AA
Sample,A.50.3,Strain,YHL033C,AA
Sample,ControlB.1,Strain,YIL066C,AA
Sample,ControlB.2,Strain,YIL066C,AA
Sample,ControlB.3,Strain,YIL066C,AA
Sample,B.10.1,Strain,YIL066C,AA
Sample,B.10.2,Strain,YIL066C,AA
Sample,B.10.3,Strain,YIL066C,AA
Sample,B.20.1,Strain,YIL066C,AA
Sample,B.20.2,Strain,YIL066C,AA
Sample,B.20.3,Strain,YIL066C,AA
Sample,B.30.1,Strain,YIL066C,AA
Sample,B.30.2,Strain,YIL066C,AA
Sample,B.30.3,Strain,YIL066C,AA
Sample,B.40.1,Strain,YIL066C,AA
Sample,B.40.2,Strain,YIL066C,AA
Sample,B.40.3,Strain,YIL066C,AA
Sample,B.50.1,Strain,YIL066C,AA
Sample,B.50.2,Strain,YIL066C,AA
Sample,B.50.3,Strain,YIL066C,AA
Sample,ControlA.1,Cycles,0,AA
Sample,ControlA.2,Cycles,0,AA
Sample,ControlA.3,Cycles,0,AA
Sample,A.10.1,Cycles,10,AA
Sample,A.10.2,Cycles,10,AA
Sample,A.10.3,Cycles,10,AA
Sample,A.20.1,Cycles,20,AA
Sample,A.20.2,Cycles,20,AA
Sample,A.20.3,Cycles,20,AA
Sample,A.30.1,Cycles,30,AA
Sample,A.30.2,Cycles,30,AA
Sample,A.30.3,Cycles,30,AA
Sample,A.40.1,Cycles,40,AA
Sample,A.40.2,Cycles,40,AA
Sample,A.40.3,Cycles,40,AA
Sample,A.50.1,Cycles,50,AA
Sample,A.50.2,Cycles,50,AA
Sample,A.50.3,Cycles,50,AA
Sample,ControlB.1,Cycles,0,AA
Sample,ControlB.2,Cycles,0,AA
Sample,ControlB.3,Cycles,0,AA
Sample,B.10.1,Cycles,10,AA
Sample,B.10.2,Cycles,10,AA
Sample,B.10.3,Cycles,10,AA
Sample,B.20.1,Cycles,20,AA
Sample,B.20.2,Cycles,20,AA
Sample,B.20.3,Cycles,20,AA
Sample,B.30.1,Cycles,30,AA
Sample,B.30.2,Cycles,30,AA
Sample,B.30.3,Cycles,30,AA
Sample,B.40.1,Cycles,40,AA
Sample,B.40.2,Cycles,40,AA
Sample,B.40.3,Cycles,40,AA
Sample,B.50.1,Cycles,50,AA
Sample,B.50.2,Cycles,50,AA
Sample,B.50.3,Cycles,50,AA
